
Summary statistics
==============================================
Statistic   N      Mean   St. Dev. Min   Max  
----------------------------------------------
idcode    27,831 2,593.87 1,487.17  1   5,159 
year      27,831  77.98     6.39    68    88  
birth_yr  27,831  48.07     3.01    41    54  
age       27,807  29.08     6.71    14    46  
race      27,831   1.30     0.48    1     3   
msp       27,817   0.60     0.49    0     1   
nev_mar   27,817   0.23     0.42    0     1   
grade     27,829  12.54     2.32    0     18  
collgrad  27,831   0.17     0.37    0     1   
not_smsa  27,824   0.28     0.45    0     1   
c_city    27,824   0.36     0.48    0     1   
south     27,824   0.41     0.49    0     1   
ind_code  27,520   7.70     3.00    1     12  
occ_code  27,716   4.77     3.07    1     13  
union     18,858   0.23     0.42    0     1   
wks_ue    22,677   2.53     7.27    0     76  
ttl_exp   27,831   6.26     4.66   0.00 28.88 
tenure    27,408   3.16     3.76   0.00 25.92 
hours     27,770  36.63     9.81    1    168  
wks_work  27,831  53.99    29.03    0    104  
ln_wage   27,831   1.68     0.48   0.00  5.26 
wages_n   27,831   1.68     0.48   0.00  5.26 
union_n   18,858   1.23     0.42    1     2   
exper_sq  27,831  60.97    80.77   0.00 834.32
----------------------------------------------
