idcode,year,birth_yr,age,race,msp,nev_mar,grade,collgrad,not_smsa,c_city,south,ind_code,occ_code,union,wks_ue,ttl_exp,tenure,hours,wks_work,ln_wage
1,70,51,18,2,0,1,12,0,0,1,0,6,3,NA,2,1.0833332538604736,0.0833333358168602,20,27,1.4512139558792114
1,71,51,19,2,1,0,12,0,0,1,0,4,6,NA,22,1.2756409645080566,0.0833333358168602,44,10,1.0286197662353516
1,72,51,20,2,1,0,12,0,0,1,0,4,6,1,0,2.2564101219177246,0.9166666865348816,40,51,1.5899773836135864
1,73,51,21,2,1,0,12,0,0,1,0,4,6,NA,0,2.3141024112701416,0.0833333358168602,40,3,1.7802728414535522
1,75,51,23,2,1,0,12,0,0,1,0,5,6,NA,0,2.7756409645080566,0.1666666716337204,10,24,1.7770116329193115
1,77,51,25,2,0,0,12,0,0,1,0,12,8,0,0,3.7756409645080566,1.5,32,52,1.7786805629730225
1,78,51,26,2,0,0,12,0,0,1,0,5,6,NA,7,3.8525640964508057,0.0833333358168602,52,4,2.493975877761841
1,80,51,28,2,0,0,12,0,0,1,0,5,6,1,0,5.294871807098389,1.8333333730697632,45,75,2.55171537399292
1,83,51,31,2,0,0,12,0,0,1,0,5,6,1,NA,5.294871807098389,0.6666666865348816,49,101,2.4202613830566406
1,85,51,33,2,0,0,12,0,0,1,0,5,6,1,0,7.160256385803223,1.9166666269302368,42,97,2.6141724586486816
1,87,51,35,2,0,0,12,0,0,0,0,5,6,1,0,8.98717975616455,3.9166667461395264,45,95,2.5363736152648926
1,88,51,37,2,0,0,12,0,0,0,0,5,6,1,0,10.333333969116211,5.333333492279053,48,70,2.4629273414611816
2,71,51,19,2,1,0,12,0,0,1,0,4,3,0,19,0.7115384340286255,0.25,40,13,1.3603482246398926
2,72,51,20,2,1,0,12,0,0,1,0,4,3,NA,6,1.134615421295166,1,40,22,1.2061975002288818
2,73,51,21,2,1,0,12,0,0,1,0,4,6,NA,35,1.4615384340286255,0.3333333432674408,40,17,1.5498828887939453
2,75,51,23,2,1,0,12,0,0,1,0,4,6,NA,0,2.211538553237915,0.6666666865348816,40,39,1.8325811624526978
2,77,51,25,2,1,0,12,0,0,1,0,4,6,1,0,3.211538553237915,2.6666667461395264,40,52,1.7267210483551025
2,78,51,26,2,1,0,12,0,0,1,0,4,6,1,0,4.211538314819336,3.6666667461395264,40,52,1.6899100542068481
2,80,51,28,2,1,0,12,0,0,1,0,4,6,1,NA,6.096153736114502,5.583333492279053,40,98,1.7269641160964966
2,82,51,30,2,1,0,12,0,0,1,0,4,6,1,NA,7.666666507720947,7.666666507720947,38,78,1.80828857421875
2,83,51,31,2,1,0,12,0,0,1,0,4,6,1,12,8.583333015441895,8.583333015441895,38,37,1.8634170293807983
2,85,51,33,2,0,0,12,0,0,1,0,4,6,1,4,10.179487228393555,1.8333333730697632,38,83,1.789366602897644
2,87,51,35,2,0,0,12,0,0,1,0,4,6,1,NA,12.179487228393555,3.75,40,NA,1.8465303182601929
2,88,51,37,2,0,0,12,0,0,1,0,4,5,1,0,13.621794700622559,5.25,40,75,1.8564485311508179
3,68,45,22,2,0,1,12,0,0,1,0,4,6,NA,0,0.9230769276618958,0,40,48,1.4935613870620728
3,69,45,23,2,0,1,12,0,0,1,0,4,6,NA,0,1.5,0.3333333432674408,40,30,1.7025283575057983
3,70,45,24,2,0,1,12,0,0,1,0,4,6,NA,6,2.423076868057251,0.5,40,48,1.4512139558792114
3,71,45,25,2,0,1,12,0,0,1,0,4,3,0,0,3.442307710647583,1.4166666269302368,40,53,1.5474196672439575
3,72,45,26,2,0,1,12,0,0,1,0,4,3,0,0,4.442307472229004,2.4166667461395264,40,52,1.6072942018508911
3,73,45,27,2,0,1,12,0,0,1,0,4,3,0,0,5.384615421295166,3.3333332538604736,40,49,1.5972669124603271
3,75,45,29,2,0,1,12,0,0,1,0,4,3,NA,23,5.942307472229004,0.4166666567325592,40,29,1.5358495712280273
3,77,45,31,2,0,1,12,0,0,1,0,4,3,0,0,6.942307472229004,2.4166667461395264,40,52,1.6228406429290771
3,78,45,32,2,0,1,12,0,0,1,0,4,3,0,0,7.980769157409668,3.4166667461395264,40,54,1.5666348934173584
3,80,45,34,2,0,1,12,0,0,1,0,4,3,0,NA,9.865385055541992,5.333333492279053,40,98,1.5597232580184937
3,82,45,36,2,0,1,12,0,0,1,0,4,3,0,NA,11.75,7.333333492279053,40,98,1.603419303894043
3,83,45,37,2,0,1,12,0,0,1,0,4,3,0,0,12.615385055541992,8.333333015441895,40,45,1.614229440689087
3,85,45,39,2,0,1,12,0,0,1,0,4,3,0,NA,14.615385055541992,10.333333015441895,40,104,1.730798602104187
3,87,45,41,2,0,1,12,0,0,1,0,4,3,0,14,16.346153259277344,0.4166666567325592,40,90,1.5257654190063477
3,88,45,42,2,0,1,12,0,0,1,0,4,3,NA,4,17.730770111083984,1.25,40,72,1.6127768754959106
4,70,45,24,1,0,1,17,1,0,1,0,11,13,1,0,2.25,1.4166666269302368,35,55,2.2885003089904785
4,71,45,25,1,1,0,17,1,0,0,0,11,13,1,0,3.192307710647583,2.4166667461395264,35,49,2.3755784034729004
4,72,45,26,1,1,0,17,1,0,0,0,11,13,1,0,4.211538314819336,3.4166667461395264,35,53,2.4139230251312256
4,73,45,27,1,1,0,17,1,0,0,0,11,13,NA,0,4.57692289352417,3.75,40,19,2.2809391021728516
4,75,45,29,1,1,0,17,1,0,0,0,11,13,NA,0,5.384614944458008,3.75,43,42,2.2588138580322266
4,80,45,34,1,1,0,17,1,0,0,0,11,13,0,0,5.692307472229004,0.3333333432674408,45,16,1.47623610496521
4,82,45,36,1,1,0,17,1,0,0,0,11,13,0,NA,7.57692289352417,2.4166667461395264,48,98,1.2809333801269531
4,83,45,37,1,1,0,17,1,0,0,0,11,13,0,0,8.384614944458008,3.4166667461395264,43,42,1.515854835510254
4,85,45,39,1,1,0,17,1,0,0,0,11,13,0,NA,10.384614944458008,5.416666507720947,35,104,1.930169701576233
4,87,45,41,1,1,0,17,1,0,0,0,11,8,1,0,12.038460731506348,0.3333333432674408,42,86,1.919034481048584
4,88,45,43,1,1,0,17,1,0,0,0,11,13,1,0,13.21153736114502,1.75,42,61,2.200974464416504
5,68,45,22,1,0,1,12,0,0,1,0,4,3,NA,0,1,0,40,52,1.6270928382873535
5,69,45,23,1,0,1,12,0,0,1,0,7,3,NA,0,2,0.8333333134651184,40,52,1.7876856327056885
5,70,45,24,1,0,1,12,0,0,1,0,7,3,0,0,3.076923131942749,1.9166666269302368,40,56,1.8208578824996948
5,71,45,25,1,0,1,12,0,0,1,0,7,3,0,0,4.038461685180664,2.9166667461395264,40,50,1.8585224151611328
5,72,45,26,1,0,1,12,0,0,1,0,4,3,0,0,5.038461685180664,0.6666666865348816,40,52,1.9793014526367188
5,73,45,27,1,0,1,12,0,0,1,0,4,3,0,0,6.038461685180664,1.6666666269302368,40,52,1.9904117584228516
5,75,45,29,1,0,1,12,0,0,1,0,8,3,NA,24,6.576923370361328,0.3333333432674408,40,28,1.5855048894882202
5,77,45,31,1,1,0,12,0,0,1,0,4,3,0,0,7.576923370361328,1.75,40,52,1.9375214576721191
5,78,45,32,1,1,0,12,0,0,1,0,4,3,NA,1,7.846153736114502,0.3333333432674408,40,14,2.0704922676086426
5,80,45,34,1,1,0,12,0,0,1,0,4,3,0,NA,9.34615421295166,1.8333333730697632,40,78,1.8302688598632813
5,82,45,36,1,1,0,12,0,0,1,0,4,3,0,0,10.730769157409668,3.3333332538604736,40,72,1.8472721576690674
6,68,46,21,1,0,1,12,0,0,1,0,4,6,NA,0,0.2884615361690521,0.1666666716337204,40,15,1.5217318534851074
6,69,46,22,1,1,0,12,0,0,1,0,4,6,NA,0,1.0384615659713745,NA,40,39,1.479384422302246
6,70,46,23,1,1,0,12,0,0,0,0,4,6,NA,0,1.0384615659713745,1,40,0,1.479384422302246
6,71,46,24,1,0,0,12,0,0,1,0,4,6,0,0,1.384615421295166,0.4166666567325592,40,18,1.5185718536376953
6,72,46,25,1,0,0,12,0,0,1,0,4,6,0,0,2.442307710647583,1.4166666269302368,43,55,1.6072942018508911
6,73,46,26,1,0,0,12,0,0,1,0,4,6,0,0,3.384615421295166,2.3333332538604736,40,49,1.8097416162490845
6,75,46,28,1,1,0,12,0,0,0,0,4,6,NA,0,4.416666507720947,4.416666507720947,45,52,1.853972315788269
6,77,46,30,1,1,0,12,0,0,0,0,4,6,0,0,6.416666507720947,6.416666507720947,40,52,1.9631098508834839
6,78,46,31,1,1,0,12,0,0,0,0,4,5,1,0,7.435897350311279,7.416666507720947,40,53,1.982733130455017
6,80,46,33,1,1,0,12,0,0,0,0,4,6,0,0,9.416666984558105,9.416666984558105,45,78,1.8467981815338135
6,82,46,35,1,1,0,12,0,0,0,0,4,6,0,NA,11.416666984558105,11.416666984558105,48,98,1.8148247003555298
6,83,46,36,1,1,0,12,0,0,0,0,4,6,1,0,12.416666984558105,12.416666984558105,40,42,1.9199128150939941
6,85,46,38,1,1,0,12,0,0,0,0,4,6,0,NA,14.416666984558105,14.416666984558105,45,104,1.9583768844604492
6,87,46,40,1,1,0,12,0,0,0,0,4,6,0,NA,16.41666603088379,16.41666603088379,40,102,2.007067918777466
6,88,46,42,1,1,0,12,0,0,0,0,4,6,0,0,17.820512771606445,17.75,48,73,2.089853525161743
7,68,49,19,1,0,1,12,0,0,1,0,4,3,NA,0,1,0.8333333134651184,40,52,1.4820667505264282
7,69,49,19,1,0,1,12,0,0,1,0,4,3,NA,0,2,1.6666666269302368,40,52,1.4904344081878662
7,70,49,21,1,1,0,12,0,0,1,0,4,3,0,0,3.057692289352417,2.75,40,55,1.5394455194473267
7,71,49,22,1,1,0,12,0,0,1,0,4,3,0,0,4,3.75,40,49,1.4938795566558838
7,72,49,23,1,1,0,12,0,0,1,0,4,3,0,0,5.019230842590332,4.75,40,53,1.454573154449463
7,73,49,23,1,1,0,12,0,0,0,0,4,3,NA,2,5.096153736114502,4.833333492279053,40,4,1.454573154449463
7,87,49,37,1,1,0,12,0,0,0,0,11,3,0,0,5.903846263885498,0.8333333134651184,30,42,0.47334209084510803
7,88,49,39,1,1,0,12,0,0,0,0,11,3,0,0,7.32692289352417,2.25,30,74,1.5324769020080566
9,70,51,18,1,0,1,12,0,0,1,0,5,3,1,0,0.807692289352417,0.6666666865348816,40,34,1.4722367525100708
9,71,51,19,1,0,1,12,0,0,1,0,5,3,1,0,1.7692307233810425,1.5833333730697632,40,50,1.7170231342315674
9,72,51,20,1,0,1,12,0,0,1,0,5,3,1,0,2.653846025466919,2.5,40,46,1.7472422122955322
9,73,51,21,1,1,0,12,0,0,1,0,5,3,1,0,3.5833332538604736,3.5833332538604736,40,31,1.799791693687439
9,75,51,23,1,1,0,12,0,0,1,0,5,3,NA,0,5.583333492279053,5.583333492279053,40,52,2.0171520709991455
9,77,51,25,1,1,0,12,0,0,1,0,5,3,1,0,7.583333492279053,7.583333492279053,40,39,2.0913636684417725
