idcode,year,birth_yr,age,race,msp,nev_mar,grade,collgrad,not_smsa,c_city,south,ind_code,occ_code,union,wks_ue,ttl_exp,tenure,hours,wks_work,ln_wage
1,70,51,18,black,0,1,12,0,0,1,0,6,3,,2,1.0833333,.083333336,20,27,1.451214
1,71,51,19,black,1,0,12,0,0,1,0,4,6,,22,1.275641,.083333336,44,10,1.0286198
1,72,51,20,black,1,0,12,0,0,1,0,4,6,1,0,2.2564101,.91666669,40,51,1.5899774
1,73,51,21,black,1,0,12,0,0,1,0,4,6,,0,2.3141024,.083333336,40,3,1.7802728
1,75,51,23,black,1,0,12,0,0,1,0,5,6,,0,2.775641,.16666667,10,24,1.7770116
1,77,51,25,black,0,0,12,0,0,1,0,12,8,0,0,3.775641,1.5,32,52,1.7786806
1,78,51,26,black,0,0,12,0,0,1,0,5,6,,7,3.8525641,.083333336,52,4,2.4939759
1,80,51,28,black,0,0,12,0,0,1,0,5,6,1,0,5.2948718,1.8333334,45,75,2.5517154
1,83,51,31,black,0,0,12,0,0,1,0,5,6,1,,5.2948718,.66666669,49,101,2.4202614
1,85,51,33,black,0,0,12,0,0,1,0,5,6,1,0,7.1602564,1.9166666,42,97,2.6141725
1,87,51,35,black,0,0,12,0,0,0,0,5,6,1,0,8.9871798,3.9166667,45,95,2.5363736
1,88,51,37,black,0,0,12,0,0,0,0,5,6,1,0,10.333334,5.3333335,48,70,2.4629273
2,71,51,19,black,1,0,12,0,0,1,0,4,3,0,19,.71153843,.25,40,13,1.3603482
2,72,51,20,black,1,0,12,0,0,1,0,4,3,,6,1.1346154,1,40,22,1.2061975
2,73,51,21,black,1,0,12,0,0,1,0,4,6,,35,1.4615384,.33333334,40,17,1.5498829
2,75,51,23,black,1,0,12,0,0,1,0,4,6,,0,2.2115386,.66666669,40,39,1.8325812
2,77,51,25,black,1,0,12,0,0,1,0,4,6,1,0,3.2115386,2.6666667,40,52,1.726721
2,78,51,26,black,1,0,12,0,0,1,0,4,6,1,0,4.2115383,3.6666667,40,52,1.6899101
2,80,51,28,black,1,0,12,0,0,1,0,4,6,1,,6.0961537,5.5833335,40,98,1.7269641
2,82,51,30,black,1,0,12,0,0,1,0,4,6,1,,7.6666665,7.6666665,38,78,1.8082886
2,83,51,31,black,1,0,12,0,0,1,0,4,6,1,12,8.583333,8.583333,38,37,1.863417
2,85,51,33,black,0,0,12,0,0,1,0,4,6,1,4,10.179487,1.8333334,38,83,1.7893666
2,87,51,35,black,0,0,12,0,0,1,0,4,6,1,,12.179487,3.75,40,,1.8465303
2,88,51,37,black,0,0,12,0,0,1,0,4,5,1,0,13.621795,5.25,40,75,1.8564485
3,68,45,22,black,0,1,12,0,0,1,0,4,6,,0,.92307693,0,40,48,1.4935614
3,69,45,23,black,0,1,12,0,0,1,0,4,6,,0,1.5,.33333334,40,30,1.7025284
3,70,45,24,black,0,1,12,0,0,1,0,4,6,,6,2.4230769,.5,40,48,1.451214
3,71,45,25,black,0,1,12,0,0,1,0,4,3,0,0,3.4423077,1.4166666,40,53,1.5474197
3,72,45,26,black,0,1,12,0,0,1,0,4,3,0,0,4.4423075,2.4166667,40,52,1.6072942
3,73,45,27,black,0,1,12,0,0,1,0,4,3,0,0,5.3846154,3.3333333,40,49,1.5972669
3,75,45,29,black,0,1,12,0,0,1,0,4,3,,23,5.9423075,.41666666,40,29,1.5358496
3,77,45,31,black,0,1,12,0,0,1,0,4,3,0,0,6.9423075,2.4166667,40,52,1.6228406
3,78,45,32,black,0,1,12,0,0,1,0,4,3,0,0,7.9807692,3.4166667,40,54,1.5666349
3,80,45,34,black,0,1,12,0,0,1,0,4,3,0,,9.8653851,5.3333335,40,98,1.5597233
3,82,45,36,black,0,1,12,0,0,1,0,4,3,0,,11.75,7.3333335,40,98,1.6034193
3,83,45,37,black,0,1,12,0,0,1,0,4,3,0,0,12.615385,8.333333,40,45,1.6142294
3,85,45,39,black,0,1,12,0,0,1,0,4,3,0,,14.615385,10.333333,40,104,1.7307986
3,87,45,41,black,0,1,12,0,0,1,0,4,3,0,14,16.346153,.41666666,40,90,1.5257654
3,88,45,42,black,0,1,12,0,0,1,0,4,3,,4,17.73077,1.25,40,72,1.6127769
4,70,45,24,white,0,1,17,1,0,1,0,11,13,1,0,2.25,1.4166666,35,55,2.2885003
4,71,45,25,white,1,0,17,1,0,0,0,11,13,1,0,3.1923077,2.4166667,35,49,2.3755784
4,72,45,26,white,1,0,17,1,0,0,0,11,13,1,0,4.2115383,3.4166667,35,53,2.413923
4,73,45,27,white,1,0,17,1,0,0,0,11,13,,0,4.5769229,3.75,40,19,2.2809391
4,75,45,29,white,1,0,17,1,0,0,0,11,13,,0,5.3846149,3.75,43,42,2.2588139
4,80,45,34,white,1,0,17,1,0,0,0,11,13,0,0,5.6923075,.33333334,45,16,1.4762361
4,82,45,36,white,1,0,17,1,0,0,0,11,13,0,,7.5769229,2.4166667,48,98,1.2809334
4,83,45,37,white,1,0,17,1,0,0,0,11,13,0,0,8.3846149,3.4166667,43,42,1.5158548
4,85,45,39,white,1,0,17,1,0,0,0,11,13,0,,10.384615,5.4166665,35,104,1.9301697
4,87,45,41,white,1,0,17,1,0,0,0,11,8,1,0,12.038461,.33333334,42,86,1.9190345
4,88,45,43,white,1,0,17,1,0,0,0,11,13,1,0,13.211537,1.75,42,61,2.2009745
5,68,45,22,white,0,1,12,0,0,1,0,4,3,,0,1,0,40,52,1.6270928
5,69,45,23,white,0,1,12,0,0,1,0,7,3,,0,2,.83333331,40,52,1.7876856
5,70,45,24,white,0,1,12,0,0,1,0,7,3,0,0,3.0769231,1.9166666,40,56,1.8208579
5,71,45,25,white,0,1,12,0,0,1,0,7,3,0,0,4.0384617,2.9166667,40,50,1.8585224
5,72,45,26,white,0,1,12,0,0,1,0,4,3,0,0,5.0384617,.66666669,40,52,1.9793015
5,73,45,27,white,0,1,12,0,0,1,0,4,3,0,0,6.0384617,1.6666666,40,52,1.9904118
5,75,45,29,white,0,1,12,0,0,1,0,8,3,,24,6.5769234,.33333334,40,28,1.5855049
5,77,45,31,white,1,0,12,0,0,1,0,4,3,0,0,7.5769234,1.75,40,52,1.9375215
5,78,45,32,white,1,0,12,0,0,1,0,4,3,,1,7.8461537,.33333334,40,14,2.0704923
5,80,45,34,white,1,0,12,0,0,1,0,4,3,0,,9.3461542,1.8333334,40,78,1.8302689
5,82,45,36,white,1,0,12,0,0,1,0,4,3,0,0,10.730769,3.3333333,40,72,1.8472722
6,68,46,21,white,0,1,12,0,0,1,0,4,6,,0,.28846154,.16666667,40,15,1.5217319
6,69,46,22,white,1,0,12,0,0,1,0,4,6,,0,1.0384616,,40,39,1.4793844
6,70,46,23,white,1,0,12,0,0,0,0,4,6,,0,1.0384616,1,40,0,1.4793844
6,71,46,24,white,0,0,12,0,0,1,0,4,6,0,0,1.3846154,.41666666,40,18,1.5185719
6,72,46,25,white,0,0,12,0,0,1,0,4,6,0,0,2.4423077,1.4166666,43,55,1.6072942
6,73,46,26,white,0,0,12,0,0,1,0,4,6,0,0,3.3846154,2.3333333,40,49,1.8097416
6,75,46,28,white,1,0,12,0,0,0,0,4,6,,0,4.4166665,4.4166665,45,52,1.8539723
6,77,46,30,white,1,0,12,0,0,0,0,4,6,0,0,6.4166665,6.4166665,40,52,1.9631099
6,78,46,31,white,1,0,12,0,0,0,0,4,5,1,0,7.4358974,7.4166665,40,53,1.9827331
6,80,46,33,white,1,0,12,0,0,0,0,4,6,0,0,9.416667,9.416667,45,78,1.8467982
6,82,46,35,white,1,0,12,0,0,0,0,4,6,0,,11.416667,11.416667,48,98,1.8148247
6,83,46,36,white,1,0,12,0,0,0,0,4,6,1,0,12.416667,12.416667,40,42,1.9199128
6,85,46,38,white,1,0,12,0,0,0,0,4,6,0,,14.416667,14.416667,45,104,1.9583769
6,87,46,40,white,1,0,12,0,0,0,0,4,6,0,,16.416666,16.416666,40,102,2.0070679
6,88,46,42,white,1,0,12,0,0,0,0,4,6,0,0,17.820513,17.75,48,73,2.0898535
7,68,49,19,white,0,1,12,0,0,1,0,4,3,,0,1,.83333331,40,52,1.4820668
7,69,49,19,white,0,1,12,0,0,1,0,4,3,,0,2,1.6666666,40,52,1.4904344
7,70,49,21,white,1,0,12,0,0,1,0,4,3,0,0,3.0576923,2.75,40,55,1.5394455
7,71,49,22,white,1,0,12,0,0,1,0,4,3,0,0,4,3.75,40,49,1.4938796
7,72,49,23,white,1,0,12,0,0,1,0,4,3,0,0,5.0192308,4.75,40,53,1.4545732
7,73,49,23,white,1,0,12,0,0,0,0,4,3,,2,5.0961537,4.8333335,40,4,1.4545732
7,87,49,37,white,1,0,12,0,0,0,0,11,3,0,0,5.9038463,.83333331,30,42,.47334209
7,88,49,39,white,1,0,12,0,0,0,0,11,3,0,0,7.3269229,2.25,30,74,1.5324769
9,70,51,18,white,0,1,12,0,0,1,0,5,3,1,0,.80769229,.66666669,40,34,1.4722368
9,71,51,19,white,0,1,12,0,0,1,0,5,3,1,0,1.7692307,1.5833334,40,50,1.7170231
9,72,51,20,white,0,1,12,0,0,1,0,5,3,1,0,2.653846,2.5,40,46,1.7472422
9,73,51,21,white,1,0,12,0,0,1,0,5,3,1,0,3.5833333,3.5833333,40,31,1.7997917
9,75,51,23,white,1,0,12,0,0,1,0,5,3,,0,5.5833335,5.5833335,40,52,2.0171521
9,77,51,25,white,1,0,12,0,0,1,0,5,3,1,0,7.5833335,7.5833335,40,39,2.0913637
9,78,51,26,white,1,0,12,0,0,1,0,5,3,1,0,8.6410255,8.583333,40,55,2.1140988
9,80,51,28,white,0,0,12,0,0,1,0,5,3,1,,10.52564,10.5,40,98,2.1137757
9,82,51,30,white,0,0,12,0,0,1,0,5,3,1,,12.583333,12.583333,40,98,2.3125353
9,83,51,31,white,0,0,12,0,0,1,0,5,3,1,0,13.583333,13.5,40,52,2.3485804
9,85,51,33,white,0,0,12,0,0,1,0,5,2,1,,15.583333,15.5,40,104,2.3734872
9,87,51,35,white,0,0,12,0,0,1,0,5,2,1,,17.583332,17.5,40,104,2.3688986
9,88,51,37,white,0,0,12,0,0,1,0,5,2,1,0,19.04487,19,40,76,2.3505313
10,69,51,17,white,0,1,10,0,0,1,0,4,6,,0,.41666666,.41666666,40,16,1.3616014
10,70,51,18,white,0,1,10,0,0,1,0,4,6,0,0,1.4551282,1.4166666,40,54,1.4614837
10,71,51,19,white,0,1,10,0,0,1,0,4,6,0,0,2.4551282,2.4166667,40,52,1.6116626
10,72,51,20,white,0,0,10,0,0,1,0,,6,,0,3.25,3.25,40,7,1.3015075
10,75,51,23,white,1,0,10,0,0,1,0,4,6,,6,3.5,.83333331,40,13,1.3913487
10,77,51,25,white,1,0,10,0,0,0,0,4,6,0,49,3.5576923,0,40,3,1.3212559
10,78,51,26,white,1,0,10,0,0,1,0,4,6,,15,3.6346154,.083333336,40,4,1.4165661
10,80,51,28,white,1,0,10,0,0,1,0,6,4,0,0,3.9615386,.41666666,40,17,1.275272
10,82,51,30,white,1,0,10,0,0,1,0,6,4,0,0,5,.083333336,40,54,.79744935
12,87,47,39,white,1,0,18,1,0,0,0,11,2,0,,14.384615,12.833333,40,104,3.0007362
12,88,47,40,white,1,0,18,1,0,0,0,11,2,0,0,15.557693,14.166667,45,61,2.8452649
13,70,47,22,white,1,0,14,0,0,0,0,11,1,,0,2.0192308,.58333331,40,53,1.9528544
13,71,47,23,white,1,0,14,0,0,0,0,11,1,0,0,3,1.4166666,40,51,1.9544634
13,73,47,25,white,1,0,14,0,0,0,0,11,1,0,2,3.8653846,.16666667,20,11,1.8643298
13,75,47,27,white,1,0,14,0,0,0,0,11,3,,0,4.6153846,2.1666667,24,39,2.0949452
13,78,47,30,white,1,0,14,0,0,0,0,11,1,0,1,5.5192308,.91666669,20,47,2.1258345
13,80,47,32,white,1,0,14,0,0,0,0,11,1,1,0,7.3653846,,40,96,2.0504456
13,82,47,34,white,1,0,14,0,0,0,0,11,3,0,,8.3653841,1,3,52,2.1198628
13,83,47,35,white,1,0,14,0,0,0,0,11,3,0,0,9.3653841,2,2,52,2.6678684
13,85,47,37,white,1,0,14,0,0,0,0,11,3,0,,10.769231,2.1666667,1,73,3.5791285
13,87,47,39,white,1,0,14,0,0,0,0,11,3,0,,12.769231,4,15,104,1.6788766
13,88,47,40,white,1,0,14,0,0,0,0,11,3,0,0,14.25,5.5,8,77,2.5713699
14,87,47,39,white,1,0,15,0,0,0,0,11,1,0,,6.0576925,.83333331,36,96,2.1434047
14,88,47,40,white,1,0,15,0,0,0,0,11,1,0,0,7.3846154,2.25,50,69,2.0471208
15,77,48,28,white,1,0,16,1,0,0,0,11,1,0,0,6.5576921,2,24,52,2.2050233
15,78,48,29,white,1,0,16,1,0,1,0,11,1,,0,7.5384617,2.8333333,40,51,2.340595
15,80,48,31,white,1,0,16,1,0,0,0,11,1,1,1,8.7692308,.083333336,35,64,2.3835156
15,82,48,33,white,1,0,16,1,0,0,0,11,1,1,,10.653846,2.0833333,28,98,2.5392368
15,83,48,34,white,1,0,16,1,0,0,0,11,1,1,0,10.961538,3,24,16,2.4855468
15,85,48,36,white,1,0,16,1,0,0,0,11,1,1,0,12.692307,5,12,90,2.3079464
15,87,48,38,white,1,0,16,1,0,0,0,11,1,1,0,14.461538,7,24,92,2.8137445
15,88,48,39,white,1,0,16,1,0,0,0,11,1,1,0,15.769231,8.416667,16,68,2.8211098
16,70,48,21,white,0,1,15,0,0,1,0,11,1,0,0,.51923078,.5,40,27,2.0432465
16,71,48,22,white,0,1,15,0,0,1,0,11,1,,0,1.3653846,.66666669,40,44,1.9841311
16,72,48,23,white,0,1,15,0,0,0,0,11,1,0,0,2.3461537,1.6666666,38,51,2.0113277
16,73,48,24,white,0,1,15,0,0,0,0,11,1,0,0,3.3076923,2.8333333,38,50,2.0874736
16,75,48,26,white,0,1,15,0,0,0,0,11,1,,0,4.3076925,.5,40,52,1.8325812
