"","idcode","year","birth_yr","age","race","msp","nev_mar","grade","collgrad","not_smsa","c_city","south","ind_code","occ_code","union","wks_ue","ttl_exp","tenure","hours","wks_work","ln_wage"
"1",1,70,51,18,"black",0,1,12,0,0,1,0,6,3,NA,2,1.0833333,0.083333336,20,27,1.451214
"2",1,71,51,19,"black",1,0,12,0,0,1,0,4,6,NA,22,1.275641,0.083333336,44,10,1.0286198
"3",1,72,51,20,"black",1,0,12,0,0,1,0,4,6,1,0,2.2564101,0.91666669,40,51,1.5899774
"4",1,73,51,21,"black",1,0,12,0,0,1,0,4,6,NA,0,2.3141024,0.083333336,40,3,1.7802728
"5",1,75,51,23,"black",1,0,12,0,0,1,0,5,6,NA,0,2.775641,0.16666667,10,24,1.7770116
"6",1,77,51,25,"black",0,0,12,0,0,1,0,12,8,0,0,3.775641,1.5,32,52,1.7786806
"7",1,78,51,26,"black",0,0,12,0,0,1,0,5,6,NA,7,3.8525641,0.083333336,52,4,2.4939759
"8",1,80,51,28,"black",0,0,12,0,0,1,0,5,6,1,0,5.2948718,1.8333334,45,75,2.5517154
"9",1,83,51,31,"black",0,0,12,0,0,1,0,5,6,1,NA,5.2948718,0.66666669,49,101,2.4202614
"10",1,85,51,33,"black",0,0,12,0,0,1,0,5,6,1,0,7.1602564,1.9166666,42,97,2.6141725
"11",1,87,51,35,"black",0,0,12,0,0,0,0,5,6,1,0,8.9871798,3.9166667,45,95,2.5363736
"12",1,88,51,37,"black",0,0,12,0,0,0,0,5,6,1,0,10.333334,5.3333335,48,70,2.4629273
"13",2,71,51,19,"black",1,0,12,0,0,1,0,4,3,0,19,0.71153843,0.25,40,13,1.3603482
"14",2,72,51,20,"black",1,0,12,0,0,1,0,4,3,NA,6,1.1346154,1,40,22,1.2061975
"15",2,73,51,21,"black",1,0,12,0,0,1,0,4,6,NA,35,1.4615384,0.33333334,40,17,1.5498829
"16",2,75,51,23,"black",1,0,12,0,0,1,0,4,6,NA,0,2.2115386,0.66666669,40,39,1.8325812
"17",2,77,51,25,"black",1,0,12,0,0,1,0,4,6,1,0,3.2115386,2.6666667,40,52,1.726721
"18",2,78,51,26,"black",1,0,12,0,0,1,0,4,6,1,0,4.2115383,3.6666667,40,52,1.6899101
"19",2,80,51,28,"black",1,0,12,0,0,1,0,4,6,1,NA,6.0961537,5.5833335,40,98,1.7269641
"20",2,82,51,30,"black",1,0,12,0,0,1,0,4,6,1,NA,7.6666665,7.6666665,38,78,1.8082886
"21",2,83,51,31,"black",1,0,12,0,0,1,0,4,6,1,12,8.583333,8.583333,38,37,1.863417
"22",2,85,51,33,"black",0,0,12,0,0,1,0,4,6,1,4,10.179487,1.8333334,38,83,1.7893666
"23",2,87,51,35,"black",0,0,12,0,0,1,0,4,6,1,NA,12.179487,3.75,40,NA,1.8465303
"24",2,88,51,37,"black",0,0,12,0,0,1,0,4,5,1,0,13.621795,5.25,40,75,1.8564485
"25",3,68,45,22,"black",0,1,12,0,0,1,0,4,6,NA,0,0.92307693,0,40,48,1.4935614
