
Summary for variables: education
     by categories of: country (Country_name)

         country |      mean        sd       min        p5       p50       p90       p99
-----------------+----------------------------------------------------------------------
     Afghanistan |  .9057143  .1679144       .73       .73       .87      1.14      1.14
         Algeria |  2.094444  1.471845       .65       .65      1.55      4.72      4.72
       Argentina |     6.403  1.394673      4.36      4.36      6.25     8.305      8.49
       Australia |  9.967778   .401428       9.3       9.3     10.06     10.57     10.57
         Austria |  7.732222  .8443752      6.71      6.71      8.22       8.8       8.8
         Bahrain |  3.955714  1.611675      1.82      1.82      3.78      6.09      6.09
      Bangladesh |  1.572222  .6851966       .79       .79      1.68      2.45      2.45
        Barbados |  7.653333  1.545971      5.22      5.22      8.19      9.11      9.11
         Belgium |  8.125556  .4332179      7.46      7.46      8.16      8.73      8.73
           Benin |  1.127143   .736449       .29       .29       .89       2.1       2.1
         Bolivia |  4.358889  .6501816      3.72      3.72      4.19      5.54      5.54
        Botswana |  2.807778  1.572091      1.32      1.32      2.29      5.35      5.35
          Brazil |  3.333333  .6671769      2.78      2.78      2.98      4.56      4.56
          Brunei |      4.62  1.682914      3.43      3.43      4.62      5.81      5.81
        Bulgaria |  8.208571  1.277829      6.67      6.67       7.9      9.74      9.74
         Burundi |      1.23         .      1.23      1.23      1.23      1.23      1.23
        Cameroon |  1.928889  .7041741      1.25      1.25      1.73      3.17      3.17
          Canada |  9.835556  1.208833      8.07      8.07     10.23     11.43     11.43
           Chile |      6.15  1.119107      4.77      4.77      5.96      7.89      7.89
           China |  4.601667  1.009305       3.4       3.4      4.69      5.74      5.74
        Colombia |     3.686  .9366275      2.24      2.24      3.96     4.845      5.01
      Costa Rica |     4.658  .9486107       3.5       3.5      4.59     5.915      6.01
         Croatia |  6.253333  .2510644      5.99      5.99      6.28      6.49      6.49
            Cuba |  6.284286  1.169257      4.74      4.74      6.25      7.78      7.78
          Cyprus |  6.712222  1.813179      4.29      4.29      6.53      8.77      8.77
         Denmark |  9.355556  .5410432      8.78      8.78      9.16     10.13     10.13
        Dominica |      4.54         .      4.54      4.54      4.54      4.54      4.54
         Ecuador |  4.747778  1.467249      2.95      2.95       5.4      6.52      6.52
           Egypt |      3.22  1.358381      1.32      1.32      3.25      5.05      5.05
     El Salvador |     2.863  1.061896      1.42      1.42     2.935     4.275       4.5
         Espanha |  5.222222  1.241156      3.64      3.64      5.15      7.25      7.25
         Estonia |      9.17         .      9.17      9.17      9.17      9.17      9.17
        Ethiopia |      1.15         .      1.15      1.15      1.15      1.15      1.15
            Fiji |  6.198889  1.280619      4.67      4.67      6.01      7.96      7.96
         Finland |  7.844444  1.755855      5.37      5.37      7.95     10.14     10.14
          France |  6.836667   .994799      5.78      5.78      6.77      8.37      8.37
           Ghana |  2.442222  1.173475       .69       .69      2.35      4.01      4.01
          Greece |  6.464444   1.42522      4.64      4.64      6.56      8.51      8.51
       Guatemala |     2.046  .6841572      1.21      1.21     1.975     2.955      3.12
          Guyana |      5.07   .737541         4         4      5.01      6.05      6.05
           Haiti |  1.632222  .8183486        .7        .7      1.45      2.67      2.67
        Honduras |  2.744444  1.037571      1.67      1.67      2.33      4.08      4.08
       Hong Kong |  6.868889  1.886475      4.74      4.74      6.73      9.47      9.47
         Hungary |  8.408571  .4033786       7.9       7.9      8.52      8.81      8.81
         Iceland |  7.123333  1.108163      5.63      5.63      7.11      8.75      8.75
           India |  2.851111  1.179984      1.45      1.45      2.72      4.77      4.77
       Indonesia |      2.89  1.196004      1.11      1.11      3.09      4.71      4.71
            Iraq |  2.542857  1.353005       .76       .76      2.34      4.34      4.34
         Ireland |  7.544444  1.055286      6.45      6.45       7.6      9.02      9.02
          Israel |     8.123  1.088271      6.53      6.53     8.435      9.17      9.23
           Italy |     5.474  .9175475      4.07      4.07       5.3       6.8         7
         Jamaica |  3.751111   1.01402      2.46      2.46       3.6      5.22      5.22
           Japan |     8.113  1.072764      6.87      6.87     7.955      9.58      9.72
          Jordan |  3.816667  2.125841       1.4       1.4      2.93      7.37      7.37
           Kenya |  2.298889  1.032757      1.19      1.19      2.38      3.99      3.99
          Kuwait |  6.526667  .5301258      5.99      5.99      6.54      7.05      7.05
